Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance: F9: Light, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Light, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Light, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Light, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Light, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Light, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Light, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Light, Sample, S1, Soluble_S59L-WT, 1","Abundance: F9: Heavy, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Heavy, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Heavy, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Heavy, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Heavy, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Heavy, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Heavy, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Heavy, Sample, S1, Soluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,P97290,Plasma protease C1 inhibitor [OS=Mus musculus],0,6.582,8,3,7,3,55.5,Serping1,1000,1000,,,,,,,,,,,4084594,2740856,4426155.5,3946377.25,,2120737,,3573499.5,,Complement and coagulation cascades,Regulation of Complement cascade; Platelet degranulation ; Intrinsic Pathway of Fibrin Clot Formation
FALSE,High,Master Protein,Q78XF5,Oligosaccharyltransferase complex subunit OSTC [OS=Mus musculus],0,6.581,8,1,5,1,16.8,Ostc,1.865,,0.028081515,,5991214,8420395,5782736.5,6063542.5,,,,,13448563,13214187,12819779,,,,,,,,Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; PD-L1(CD274) glycosylation and translocation to plasma membrane
FALSE,High,Master Protein,Q8BIP0,"Aspartate--tRNA ligase, mitochondrial [OS=Mus musculus]",0,6.577,7,4,8,4,74.1,Dars2,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,P19973,Lymphocyte-specific protein 1 [OS=Mus musculus],0,6.547,7,2,5,2,36.7,Lsp1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q91Z38,Tetratricopeptide repeat protein 1 [OS=Mus musculus],0,6.547,6,1,4,1,33.2,Ttc1,1000,,,,,,,,,,,,2786368.75,2273569.5,2488318.75,,,,,,,,
FALSE,High,Master Protein,Q9DC50,Peroxisomal carnitine O-octanoyltransferase [OS=Mus musculus],0,6.541,7,3,8,3,70.2,Crot,1000,1000,,,,,,,,,,,3432636.75,2410201,3971619.5,4848870,,1567520.625,1665633.75,,,,Peroxisomal protein import; Beta-oxidation of pristanoyl-CoA
FALSE,High,Master Protein,Q8BMD8,Mitochondrial adenyl nucleotide antiporter SLC25A24 [OS=Mus musculus],0,6.537,8,3,5,3,52.9,Slc25a24,1.251,1000,0.064600313,,4648852,3630647,4295902,4900756,,,,,5427251,5982635.5,5762410.5,5358440.5,1888193.375,,3280607.75,3653046.75,,,
FALSE,High,Master Protein,Q8C854,Myelin expression factor 2 [OS=Mus musculus],0,6.536,3,1,5,1,63.3,Myef2,,,,,,,,,,,,,,,,,,,,,,Mitochondrial gene expression; MicroRNAs in cardiomyocyte hypertrophy; mRNA processing,
FALSE,High,Master Protein,O08605,MAP kinase-interacting serine/threonine-protein kinase 1 [OS=Mus musculus],0,6.535,6,2,5,2,47.9,Mknk1,1000,1000,,,,,,,,,,,3587544.5,4063775.5,3528109.5,,,1078595.375,,2314866.25,,IL-2 signaling pathway,Spry regulation of FGF signaling
FALSE,High,Master Protein,Q9WUB4,Dynactin subunit 6 [OS=Mus musculus],0,6.518,13,2,6,2,20.7,Dctn6,1000,1000,,,,,,,,,,,3300595,3261275.5,3087397.75,3565576.25,1424563.875,1670571,1500280.375,2431264.5,,,MHC class II antigen presentation; COPI-independent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
FALSE,High,Master Protein,O35250,Exocyst complex component 7 [OS=Mus musculus],0,6.51,5,4,7,4,79.9,Exoc7,,,,,,,,,,,,,,,,,,,,,,Dysregulated miRNA targeting in insulin/PI3K-AKT signaling,VxPx cargo-targeting to cilium; Insulin processing
FALSE,High,Master Protein,P29351,Tyrosine-protein phosphatase non-receptor type 6 [OS=Mus musculus],0,6.49,6,4,7,4,67.5,Ptpn6,,,,,,,,,,,,,,,,,,,,,,IL-5 signaling pathway; B cell receptor signaling pathway; Microglia pathogen phagocytosis pathway; IL-3 signaling pathway; Kit receptor signaling pathway; IL-2 signaling pathway; T cell receptor signaling pathway; EGFR1 signaling pathway; IL-4 signaling pathway,Neutrophil degranulation; CD22 mediated BCR regulation; Antigen activates B Cell Receptor (BCR) leading to generation of second messengers; Co-inhibition by PD-1; GPVI-mediated activation cascade; Platelet sensitization by LDL; Signaling by ALK; Regulation of IFNA/IFNB signaling; Interleukin receptor SHC signaling; Regulation of KIT signaling; Interferon gamma signaling; PECAM1 interactions; Co-inhibition by BTLA
FALSE,High,Master Protein,O35900,U6 snRNA-associated Sm-like protein LSm2 [OS=Mus musculus],0,6.487,20,1,10,1,10.8,Lsm2,,,,,,,,,,,,,,,,,,,,,,mRNA processing,mRNA Splicing - Major Pathway; mRNA decay by 5' to 3' exoribonuclease
FALSE,High,Master Protein,Q3U487,E3 ubiquitin-protein ligase HECTD3 [OS=Mus musculus],0,6.483,4,2,6,2,97.3,Hectd3,,,,,,,,,,,,,,,,,,,,,,,Antigen processing: Ubiquitination & Proteasome degradation
FALSE,High,Master Protein,Q5SWT3,Solute carrier family 25 member 35 [OS=Mus musculus],0,6.481,7,2,8,2,32.6,Slc25a35,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,P21126,Ubiquitin-like protein 4A [OS=Mus musculus],0,6.46,14,2,5,2,17.8,Ubl4a,1000,1000,,,,,,,,,,,10083841.5,8313871,11941336.5,6886378.5,2424552.75,4693034.5,2135342,,,,
FALSE,High,Master Protein,Q5SQX6,Cytoplasmic FMR1-interacting protein 2 [OS=Mus musculus],0,6.456,2,2,6,1,145.6,Cyfip2,,,,,,,,,,,,,,,,,,,,,,Regulation of actin cytoskeleton,Regulation of actin dynamics for phagocytic cup formation; RAC1 GTPase cycle; VEGFA-VEGFR2 Pathway; RHO GTPases Activate WASPs and WAVEs
FALSE,High,Master Protein,Q9D154,Leukocyte elastase inhibitor A [OS=Mus musculus],0,6.444,5,1,4,1,42.5,Serpinb1a,,,,,,,,,,,,,,,,,,,,,,,Neutrophil degranulation; CASP4 inflammasome assembly
FALSE,High,Master Protein,O88343,Electrogenic sodium bicarbonate cotransporter 1 [OS=Mus musculus],0,6.44,3,3,7,3,121.4,Slc4a4,1000,,,,,,,,,,,,26851081.5,14265198.25,19380933.25,21505238.75,,,,,,,Bicarbonate transporters
FALSE,High,Master Protein,Q8VCI0,Phospholipase B-like 1 [OS=Mus musculus],0,6.417,4,2,6,2,63,Plbd1,,,,,,,,,,,,,,,,,,,,,,,Acyl chain remodelling of PC; Acyl chain remodelling of PE; Hydrolysis of LPC; Acyl chain remodelling of PI
FALSE,High,Master Protein,Q8BVA5,Lipid droplet-associated hydrolase [OS=Mus musculus],0,6.404,4,1,17,1,37.3,Ldah,2.987,1.612,0.001321857,0.039675014,3914587.5,3210294.25,2387904,3428275,4565106.5,3922713,3218880,3555618,11803711,9501721,10438534,9742471,5284275.5,5693579,5766107,7644631,,,
FALSE,High,Master Protein,P03987,Ig gamma-3 chain C region [OS=Mus musculus],0,6.402,9,3,8,3,43.9,,1000,1000,,,,,,,,,,,3108753.25,,3572327.25,2614324.75,,,,6203358,,,
FALSE,High,Master Protein,Q91VR7,Microtubule-associated protein 1 light chain 3 alpha [OS=Mus musculus],0,6.393,17,2,20,1,14.3,Map1lc3a,3.207,3.636,0.009940652,0.000793469,9414056,6877789,4467458,8437286,1937745.625,4772830,2610081,2430035,26096542,25522054,24541128,17858840,6670730,12813225,10022705,9644574,,,Macroautophagy; PINK1-PRKN Mediated Mitophagy; Receptor Mediated Mitophagy
FALSE,High,Master Protein,O09106,Histone deacetylase 1 [OS=Mus musculus],0,6.388,7,3,10,1,55,Hdac1,1000,1000,,,,,,,,,,,842076.3125,825902.0625,1158426.125,828044.625,,,,503303.0938,,Estrogen signaling; Mechanisms associated with pluripotency; Cell cycle; Neural crest differentiation; TNF-alpha NF-kB signaling pathway; Androgen receptor signaling pathway; TGF-beta receptor signaling pathway; Delta-Notch signaling pathway; Notch signaling pathway; Histone modifications; IL-6 signaling pathway; EGFR1 signaling pathway,SUMOylation of chromatin organization proteins; Downregulation of SMAD2/3:SMAD4 transcriptional activity; Factors involved in megakaryocyte development and platelet production; HDACs deacetylate histones; Regulation of TP53 Activity through Acetylation; RNA Polymerase I Transcription Initiation; Regulation of PTEN gene transcription; Formation of the beta-catenin:TCF transactivating complex; RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function; STAT3 nuclear events downstream of ALK signaling; Negative Regulation of CDH1 Gene Transcription; Notch-HLH transcription pathway; G0 and Early G1; Deactivation of the beta-catenin transactivating complex; Regulation of MECP2 expression and activity; Regulation of MITF-M-dependent genes involved in apoptosis; Regulation of MITF-M-dependent genes involved in cell cycle and proliferation
FALSE,High,Master Protein,P70245,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase [OS=Mus musculus]",0,6.379,11,2,15,2,26.2,Ebp,0.041,0.001,,,,,1401406,3785590.75,2157354.25,2341782.25,2306393.5,2270090.25,,,2308704.75,,,,,,Acetyl [N-Term],Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,Cholesterol biosynthesis via desmosterol; Cholesterol biosynthesis via lathosterol
FALSE,High,Master Protein,P30681,High mobility group protein B2 [OS=Mus musculus],0,6.373,12,2,8,1,24.1,Hmgb2,1000,1000,,,,,,,,,,,4978390,6260632.5,6606940.5,5417376,,1655920.75,5539203,,,Androgen receptor signaling pathway,Apoptosis induced DNA fragmentation
FALSE,High,Master Protein,O08573,Galectin-9 [OS=Mus musculus],0,6.369,7,2,10,2,40,Lgals9,1000,1000,,,,,,,,,,,,,4173674.5,,,,3100253,,,,
FALSE,High,Master Protein,Q91XF0,Pyridoxine-5'-phosphate oxidase [OS=Mus musculus],0,6.358,9,2,11,2,30.1,Pnpo,1000,0.001,,,,,,,,4216723,,5315096,8092213.5,4381144,5707315.5,5933111.5,2028776.625,,,,,Selenium micronutrient network; Folic acid network,Vitamin B6 activation to pyridoxal phosphate
FALSE,High,Master Protein,Q922Q8,Leucine-rich repeat-containing protein 59 [OS=Mus musculus],0,6.357,11,3,10,3,34.9,Lrrc59,1000,,,,,,,,,,,,5340485.5,5145734,5085286.5,6355136.5,,,,,,,
FALSE,High,Master Protein,Q9D1F4,Proline-rich AKT1 substrate 1 [OS=Mus musculus],0,6.345,7,1,7,1,27.5,Akt1s1,,,,,,,,,,,,,,,,,,,,,,Focal adhesion: PI3K-Akt-mTOR signaling pathway,mTORC1-mediated signalling; HSF1-dependent transactivation; AKT phosphorylates targets in the cytosol
FALSE,High,Master Protein,P56528,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 [OS=Mus musculus],0,6.342,11,3,9,3,34.4,Cd38,0.001,0.001,,,14753440.5,8945221.5,6789231.625,9808959.625,15491077.88,10758025,19693493.13,4969344,,,,,,,,,,,Nicotinate metabolism
FALSE,High,Master Protein,S4R1M9,Oxysterol-binding protein-related protein 10 [OS=Mus musculus],0,6.337,3,2,4,2,83.8,Osbpl10,1000,,,,,,,,,,,,,10523188,6189762,4665789.5,,,,,,,Acyl chain remodelling of PS
FALSE,High,Master Protein,Q9WV91,Prostaglandin F2 receptor negative regulator [OS=Mus musculus],0,6.336,4,3,8,3,98.7,Ptgfrn,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9D1I6,Large ribosomal subunit protein uL14m [OS=Mus musculus],0,6.328,17,3,13,3,15.9,Mrpl14,,,,,,,,,,,,,,,,,,,,,,,Mitochondrial translation elongation; Mitochondrial translation termination; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,Q9CY50,Translocon-associated protein subunit alpha [OS=Mus musculus],0,6.326,8,2,12,2,32,Ssr1,5.699,1.449,0.000604777,0.217679386,4976654.5,4030695.25,4060216,6845634.5,8559663.5,4506869,10481927.25,3324404.75,29247256,22277752,26125278,26704660,,8441396,11749123,16961428,,,
FALSE,High,Master Protein,P62311,U6 snRNA-associated Sm-like protein LSm3 [OS=Mus musculus],0,6.321,32,2,7,2,11.8,Lsm3,,,,,,,,,,,,,,,,,,,,,Acetyl [N-Term],,mRNA Splicing - Major Pathway; mRNA decay by 5' to 3' exoribonuclease
FALSE,High,Master Protein,Q8BGA9,Mitochondrial inner membrane protein OXA1L [OS=Mus musculus],0,6.317,6,3,14,3,48.2,Oxa1l,1000,1000,,,3404938.75,,,,,,,4681508.5,10749082,12769785,13964831,16564870,9256315,10626200,13992677,17159018,,,Mitochondrial translation elongation; Mitochondrial translation termination; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,Q9EQG9,Ceramide transfer protein [OS=Mus musculus],0,6.305,7,3,4,3,71.1,Cert1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q99MZ7,Peroxisomal trans-2-enoyl-CoA reductase [OS=Mus musculus],0,6.292,8,2,14,2,32.4,Pecr,101.979,16.74,0.066242125,0.000463423,5134923,6377851,,,2586750,3170443.25,,2457908.25,53401856,42595768,41271088,47595756,43910464,44482516,47639328,40577456,,Fatty acid biosynthesis; Mitochondrial long chain fatty acid beta-oxidation,Peroxisomal protein import; Alpha-oxidation of phytanate
FALSE,High,Master Protein,Q99KU0,Vacuole membrane protein 1 [OS=Mus musculus],0,6.287,7,1,6,1,45.9,Vmp1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9ERL7,Glia maturation factor gamma [OS=Mus musculus],0,6.273,13,2,14,1,16.7,Gmfg,1000,1000,,,,,,,,,,,2391539.25,2439044.75,1601291.25,2181609.5,,,,1791350.375,,,Neutrophil degranulation
FALSE,High,Master Protein,P63300,Selenoprotein W [OS=Mus musculus],0,6.258,13,1,6,1,9.7,Selenow,0.001,,,,1249587,1498076.875,934087.0625,1329713.375,,,,,,,,,,,,,,Selenium metabolism / selenoproteins; Folic acid network,
FALSE,High,Master Protein,P62918,Large ribosomal subunit protein uL2 [OS=Mus musculus],0,6.251,14,3,16,3,28,Rpl8,2.865,,0.002018154,,3388912.75,2624342.75,,3813153.5,,,,,9752795.5,7484265.125,8495270,9537540.75,,,,,,Cytoplasmic ribosomal proteins; TNF-alpha NF-kB signaling pathway; mRNA processing,L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA; ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA; Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide; Protein hydroxylation
FALSE,High,Master Protein,P52332,Tyrosine-protein kinase JAK1 [OS=Mus musculus],0,6.237,4,3,4,3,133.3,Jak1,,,,,,,,,,,,,,,,,,,,,,,RAF/MAP kinase cascade; Interleukin-20 family signaling; Regulation of IFNA/IFNB signaling; Interleukin-7 signaling; Interleukin receptor SHC signaling; Interleukin-4 and Interleukin-13 signaling; Interleukin-35 Signalling; Interleukin-27 signaling; Regulation of IFNG signaling; Inactivation of CSF3 (G-CSF) signaling; Interleukin-6 signaling; PD-L1(CD274) glycosylation and translocation to plasma membrane; IL-6-type cytokine receptor ligand interactions; ISG15 antiviral mechanism; IFNG signaling activates MAPKs; Interleukin-2 signaling; Signaling by CSF3 (G-CSF); MAPK3 (ERK1) activation; MAPK1 (ERK2) activation; Interleukin-12 signaling; Interleukin-9 signaling; Interleukin-15 signaling; Interleukin-10 signaling; Interleukin-21 signaling
FALSE,High,Master Protein,A2AJI0,MAP7 domain-containing protein 1 [OS=Mus musculus],0,6.236,3,2,8,2,93.2,Map7d1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9ESW8,Pyroglutamyl-peptidase 1 [OS=Mus musculus],0,6.213,11,1,4,1,22.9,Pgpep1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,P05125,Natriuretic peptides A [OS=Mus musculus],0,6.203,14,2,3,2,16.6,Nppa,,2.713,,,,,,,,,,11482602,,,,,,,,31148224,,MicroRNAs in cardiomyocyte hypertrophy,Physiological factors
FALSE,High,Master Protein,P35330,Intercellular adhesion molecule 2 [OS=Mus musculus],0,6.198,10,3,8,3,31.4,Icam2,1000,1000,,,,,,,,,,,,,6227904,,2129290.25,,4079684.5,3693292.75,,,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Integrin cell surface interactions; CD209 (DC-SIGN) signaling
FALSE,High,Master Protein,Q9CR98,Protein FAM136A [OS=Mus musculus],0,6.194,18,3,14,3,15.7,Fam136a,0.001,0.001,,,10780024,8841621,9492790,7113564,9098967,10611048,9720958,8010829.5,,,,,,,,,Met-loss+Acetyl [N-Term],,
FALSE,High,Master Protein,Q9JHU9,Inositol-3-phosphate synthase 1 [OS=Mus musculus],0,6.167,9,3,4,3,60.9,Isyna1,1000,1000,,,,,,,,,,,7724701,4859485,6812060.5,6881079,2917844.5,2678860.5,5528250.5,,,,"Synthesis of IP2, IP, and Ins in the cytosol"
FALSE,High,Master Protein,O54833,Casein kinase II subunit alpha' [OS=Mus musculus],0,6.159,9,2,7,1,41.2,Csnk2a2,,,,,,,,,,,,,,,,,,,,,,TNF-alpha NF-kB signaling pathway; Wnt signaling pathway,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known; Regulation of TP53 Activity through Phosphorylation; Regulation of PTEN stability and activity; Signal transduction by L1; Condensation of Prometaphase Chromosomes; Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; SPOP-mediated proteasomal degradation of PD-L1(CD274); Synthesis of PC; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; WNT mediated activation of DVL; Receptor Mediated Mitophagy
FALSE,High,Master Protein,Q99MD6,Thioredoxin reductase 3 [OS=Mus musculus],0,6.157,3,2,6,2,71.3,Txnrd3,3.273,0.001,0.001122882,,3440341.5,2843239.25,5272593,3998310.5,5656772.5,5375003,4596404.5,4042791,11728505,11839459.75,13831860,12564957,,,,,,Selenium metabolism / selenoproteins,
FALSE,High,Master Protein,P22437,Prostaglandin G/H synthase 1 [OS=Mus musculus],0,6.146,3,2,7,2,69,Ptgs1,,,,,,,,,,,,,,,,,,,,,,Eicosanoid synthesis; Prostaglandin synthesis and regulation; Eicosanoid metabolism via cyclooxygenases (COX); Oxidative stress and redox pathway,Synthesis of Prostaglandins (PG) and Thromboxanes (TX); COX reactions
FALSE,High,Master Protein,P41731,CD63 antigen [OS=Mus musculus],0,6.127,5,1,5,1,25.7,Cd63,2.536,1000,0.003122013,,8226691.5,8521457,6339091,9385565,,,,,22572970,19974350,22279818,19881744,6089356,6039750.5,6908727,8887996,,,Neutrophil degranulation; Platelet degranulation
FALSE,High,Master Protein,P02104,Hemoglobin subunit epsilon-Y2 [OS=Mus musculus],0,6.122,12,2,34,1,16.1,Hbb-y,0.263,0.323,0.002996719,0.031655871,5087651,9382259,13941488,16734046,9255585,14349597,10146106,6528404,911602.25,2332953.25,5190180.5,4659927,,3542534.75,4290098.5,2882138.75,,,
FALSE,High,Master Protein,Q8BI84,Transport and Golgi organization protein 1 homolog [OS=Mus musculus],0,6.121,1,2,5,2,213.5,Mia3,1000,,,,,,,,,,,,5890346.5,5052002,,,,,,,,,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Cargo concentration in the ER
FALSE,High,Master Protein,P50172,11-beta-hydroxysteroid dehydrogenase 1 [OS=Mus musculus],0,6.121,8,2,5,2,32.3,Hsd11b1,,,,,,,,,,,,,,,,,,,,,,Prostaglandin synthesis and regulation,Prednisone ADME; Glucocorticoid biosynthesis
FALSE,High,Master Protein,Q99N84,Small ribosomal subunit protein mS40 [OS=Mus musculus],0,6.098,8,2,18,2,28.7,Mrps18b,,,,,,,,,,,,,,,,,,,,,,,Mitochondrial translation elongation; Mitochondrial translation termination; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,Q5ND29,Rab-interacting lysosomal protein [OS=Mus musculus],0,6.098,9,3,9,3,41.1,Rilp,1000,1000,,,,,,,,,,,9975970,8900047,7598399,11067075,2617592.25,5016104,5016265.5,8886238,,,MHC class II antigen presentation
FALSE,High,Master Protein,Q8CCS6,Polyadenylate-binding protein 2 [OS=Mus musculus],0,6.094,6,2,8,2,32.3,Pabpn1,1000,,,,,,,,,,,,596375.25,,608448.625,701742.5625,,,,,,mRNA processing,mRNA 3'-end processing; RNA Polymerase II Transcription Termination; Nuclear RNA decay; Processing of Intronless Pre-mRNAs
FALSE,High,Master Protein,Q6A4J8,Ubiquitin carboxyl-terminal hydrolase 7 [OS=Mus musculus],0,6.091,4,3,8,3,128.4,Usp7,1000,,,,,,,,,,,,3954936.5,5732546.5,4506627.5,5463774,,,,,,Mechanisms associated with pluripotency,Ub-specific processing proteases; Formation of TC-NER Pre-Incision Complex; Dual incision in TC-NER; Gap-filling DNA repair synthesis and ligation in TC-NER; Regulation of PTEN localization; Regulation of TP53 Degradation; Synthesis of active ubiquitin: roles of E1 and E2 enzymes
FALSE,High,Master Protein,Q9DBL9,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 [OS=Mus musculus],0,6.084,9,2,9,2,39.1,Abhd5,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q8C2E7,WASH complex subunit 5 [OS=Mus musculus],0,6.079,2,2,4,2,134,Washc5,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9D7N3,Small ribosomal subunit protein uS9m [OS=Mus musculus],0,6.069,6,2,9,2,44.9,Mrps9,,,,,,,,,,,,,,,,,,,,,,,Mitochondrial translation termination; Mitochondrial translation elongation; Mitochondrial ribosome-associated quality control
FALSE,High,Master Protein,Q03249,Galactose-1-phosphate uridylyltransferase [OS=Mus musculus],0,6.061,7,2,11,2,43.2,Galt,,,,,,,,,,,,,,,,,,,,,,,Galactose catabolism
FALSE,High,Master Protein,P08508,Low affinity immunoglobulin gamma Fc region receptor III [OS=Mus musculus],0,6.05,11,3,8,1,30,Fcgr3,,,,,,,,,,,,,,,,,,,,,,,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
FALSE,High,Master Protein,P48428,Tubulin-specific chaperone A [OS=Mus musculus],0,6.028,18,2,13,2,12.8,Tbca,2.573,1000,0.001590742,,2551360.75,2132793.25,,2956611.75,,,,,6828011.5,5034771.5,6990490,7315824.5,1844102.375,2734132.5,2736740.25,2727342.25,,,
FALSE,High,Master Protein,Q9CZX7,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase [OS=Mus musculus]",0,6.022,14,2,6,2,28,Pip4p2,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,O35166,Golgi SNAP receptor complex member 2 [OS=Mus musculus],0,6.009,16,2,7,2,24.7,Gosr2,,,,,,,,,,,,,,,,,,,,,,,COPI-mediated anterograde transport; Intra-Golgi traffic; COPII-mediated vesicle transport; Cargo concentration in the ER
FALSE,High,Master Protein,Q62176,RNA-binding protein 38 [OS=Mus musculus],0,6.004,11,2,12,2,25.3,Rbm38,,,,,,,,,,,,,,,,,,,,,,mRNA processing,
FALSE,High,Master Protein,Q6A0D4,Raftlin [OS=Mus musculus],0,6.003,5,2,8,2,61.5,Rftn1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q8BHL8,Proteasome inhibitor PI31 subunit [OS=Mus musculus],0,5.99,12,2,6,2,29.6,Psmf1,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q5SSH8,Neuferricin [OS=Mus musculus],0,5.987,9,2,4,2,29.1,Cyb5d2,,,,,,,,,,,,,,,,,,,,,,,
FALSE,High,Master Protein,Q9JJE7,Fatty acid desaturase 3 [OS=Mus musculus],0,5.976,10,2,4,2,51.4,Fads3,1000,,,,,,,,,,,,13647357,11059154,,,,,,,,,
FALSE,High,Master Protein,Q91ZW2,GDP-fucose protein O-fucosyltransferase 1 [OS=Mus musculus],0,5.959,12,3,5,3,44.7,Pofut1,1000,1000,,,,,,,,,,,6503609.5,3148530.25,2979079,4031752.5,1773521.75,,,2702514.25,,Delta-Notch signaling pathway,
FALSE,High,Master Protein,Q9CQV7,Mitochondrial import inner membrane translocase subunit TIM14 [OS=Mus musculus],0,5.956,16,1,8,1,12.4,Dnajc19,,,,,,,,,,,,,,,,,,,,,Acetyl [N-Term],,
FALSE,High,Master Protein,P49710,Hematopoietic lineage cell-specific protein [OS=Mus musculus],0,5.955,3,1,7,1,54.2,Hcls1,1000,,,,,,,,,,,,3323673.75,,4142069.5,4375430.125,,,,,,IL-5 signaling pathway; B cell receptor signaling pathway; Tyrobp causal network in microglia,
FALSE,High,Master Protein,Q60575,Kinesin-like protein KIF1B [OS=Mus musculus],0,5.943,1,2,7,2,204,Kif1b,,,,,,,,,,,,,,,,,,,,,,,COPI-dependent Golgi-to-ER retrograde traffic; Kinesins
FALSE,High,Master Protein,P08207,Protein S100-A10 [OS=Mus musculus],0,5.937,35,2,10,2,11.2,S100a10,0.001,0.001,,,11250429,5974795,,,,,,7386165.5,,,,,,,,,,Prostaglandin synthesis and regulation,Dissolution of Fibrin Clot
